bloc_code;competence_id;methode;score
RNCP37896BC01;n_donnees;ia;
RNCP37896BC02;ar_metiers_art;ia;
RNCP37896BC03;g_histoire_geo;ia;
RNCP37896BC05;g_eps;ia;
RNCP37896BC06;g_pse;ia;
RNCP37896BC07;g_langue;ia;
RNCP37896BC08;g_mobilite;ia;
RNCP37309BC01;i_maintenance;ia;
RNCP37309BC02;i_maintenance;ia;
RNCP37309BC03;g_eco_gestion;ia;
RNCP37309BC04;g_pse;ia;
RNCP37309BC05;g_maths;ia;
RNCP37309BC06;g_physique_chimie;ia;
RNCP37309BC07;g_langue;ia;
RNCP37309BC08;g_francais;ia;
RNCP37309BC09;g_histoire_geo;ia;
RNCP37309BC10;g_arts;ia;
RNCP37309BC11;g_eps;ia;
RNCP37309BC12;g_langue;ia;
RNCP37309BC13;g_mobilite;ia;
RNCP37996BC01;sp_encadrer;ia;
RNCP37996BC02;sp_encadrer;ia;
RNCP37996BC03;sp_projet_aps;ia;
RNCP37996BC04;sp_encadrer;ia;
RNCP37405BC02;me_chaudronnerie;ia;
RNCP37405BC03;gm_projet;ia;
RNCP36869BC01;e_installation_elec;ia;
RNCP36869BC02;e_maintenance_elec;ia;
RNCP38205BC01;n_usages_avances;ia;
RNCP38205BC02;t_savoirs_specialises;ia;
RNCP38205BC03;t_communication_specialisee;ia;
RNCP38205BC04;t_transformation;ia;
RNCP38205BC05;d_conseil;ia;
RNCP38205BC06;d_veille;ia;
RNCP38205BC07;d_conseil;ia;
RNCP38205BC08;d_conseil;ia;
RNCP38205BC09;d_actes;ia;
RNCP38205BC10;d_contentieux;ia;
RNCP38704BC01;n_usages_avances;ia;
RNCP38704BC02;t_savoirs_specialises;ia;
RNCP38704BC03;t_communication_specialisee;ia;
RNCP38704BC04;t_transformation;ia;
RNCP38704BC05;g_physique_chimie;ia;
RNCP38704BC06;ch_analyse;ia;
RNCP38704BC07;g_physique_chimie;ia;
RNCP38428BC01;i_conception;ia;
RNCP38428BC02;i_fabrication;ia;
RNCP38428BC03;i_amelioration;ia;
RNCP38428BC04;si_manager_projet_ing;ia;
RNCP38263BC01;au_maintenance;ia;
RNCP38263BC02;au_maintenance;ia;
RNCP38263BC04;au_maintenance;ia;
RNCP38729BC03;t_responsabilite;ia;
RNCP38729BC04;g_maths;ia;
RNCP38729BC05;g_physique_chimie;ia;
RNCP38729BC06;g_eco_gestion;ia;
RNCP38729BC07;g_pse;ia;
RNCP38729BC08;g_langue;ia;
RNCP38729BC09;g_francais;ia;
RNCP38729BC10;g_histoire_geo;ia;
RNCP38729BC11;g_arts;ia;
RNCP38729BC12;g_eps;ia;
RNCP38729BC13;g_langue;ia;
RNCP38729BC14;g_mobilite;ia;
RNCP38264BC01;sp_encadrer;ia;
RNCP38264BC02;sp_encadrer;ia;
RNCP38264BC03;sp_parcours;ia;
RNCP38731BC01;b_finitions;ia;
RNCP38731BC02;e_maintenance_elec;ia;
RNCP38731BC03;en_installation;ia;
RNCP38434BC01;gm_strategie;ia;
RNCP38434BC02;n_cyber;ia;
RNCP38434BC03;n_maintien_op;ia;
RNCP38523BC01;cm_creatif;ia;
RNCP38523BC02;si_manager_projet_ing;ia;
RNCP38523BC03;gm_projet;ia;
RNCP38523BC04;cm_creatif;ia;
RNCP38446BC01;cv_relation_client;ia;
RNCP38446BC02;cv_equipe_commerciale;ia;
RNCP38446BC03;cv_equipe_commerciale;ia;
RNCP39260BC01;s_sterilisation;ia;
RNCP39260BC02;ag_labo;ia;
RNCP39260BC03;i_fabrication;ia;
RNCP39260BC04;gm_piloter_org;ia;
RNCP38828BC01;cm_audiovisuel;ia;
